,Year,Player,Team,Pos,G,MP,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
499,2020,Stella Johnson,WAS,G,5,94,5,2,18.8,3.2,6.6,0.485,1.8,2.8,0.643,1.4,3.8,0.368,1,1,1,0.8,2,2.4,1,0.4,0.8,2,9.2
500,2020,Stephanie Mavunga,CHI,F,5,36,5,0,7.2,1,2.2,0.455,0,0.6,0,1,1.6,0.625,0,0,,0.6,2.6,0.4,0.2,0,1.2,1.6,2
501,2020,Erica McCall,MIN,F,19,178,19,0,9.4,0.8,2.4,0.356,0.1,0.2,0.25,0.8,2.2,0.366,0.9,1.2,0.818,1.2,2.5,0.2,0.3,0.4,0.5,1.2,2.7
502,2020,Shey Peddy,PHO,G,8,141,8,0,17.6,1.3,4.3,0.294,0.3,2.4,0.105,1,1.9,0.533,1.3,1.3,1,0.9,3,2.4,1.5,0.1,0.9,1.8,4
503,2020,Alisia Jenkins,PHO,F,2,23,2,0,11.5,1,4,0.25,0,1.5,0,1,2.5,0.4,2,3,0.667,0,1.5,0,0,0,1.5,1.5,4
504,2021,Natalie Achonwa,MIN,F,21,253,21,1,12,1.2,2.9,0.426,0,0,0,1.2,2.9,0.433,1.2,1.3,0.893,0.6,2.1,1.2,0.6,0.2,0.6,1.6,3.7
505,2021,Bella Alarie,DAL,C-F,31,407,31,11,13.1,1,2.1,0.5,0,0.1,0,1,2,0.516,0.5,0.6,0.85,1.4,3.3,0.5,0.6,0.6,0.6,1.4,2.6
506,2021,Lindsay Allen,IND,G,32,571,32,8,17.8,2,4.8,0.428,0.4,1.5,0.298,1.6,3.3,0.486,0.9,1.2,0.811,0.3,1.5,3,0.5,0.1,1,1.1,5.4
507,2021,Rebecca Allen,NYL,F,25,615,25,13,24.6,3,8.6,0.343,1.9,5,0.381,1,3.6,0.289,1.3,1.5,0.892,0.8,3.7,1.1,1.6,1.2,0.8,2.2,9.2
508,2021,Jillian Alleyne,WAS,C-F,2,8,2,0,4,0,1,0,0,0,,0,1,0,0,0,,0.5,2,0,0.5,0,0,0,0
509,2021,Ariel Atkins,WAS,G,30,918,30,30,30.6,5.4,13.2,0.407,2.2,6.1,0.359,3.2,7.1,0.448,3.3,3.9,0.831,1.1,2.8,2.6,1.6,0.5,2,3.2,16.2
510,2021,Rachel Banham,MIN,G,27,341,27,0,12.6,1.9,4.8,0.395,1,2.8,0.373,0.9,2,0.426,0.2,0.3,0.625,0.1,1.2,1.6,0.3,0.1,0.9,1.7,5
511,2021,Monique Billings,ATL,F,31,740,31,9,23.9,3.2,6.5,0.495,0,0.1,0,3.2,6.5,0.5,1.7,2.5,0.675,2.8,6.5,1,1.2,1,1.4,2.5,8.1
512,2021,Sue Bird,SEA,G,30,832,30,30,27.7,3.5,8.2,0.431,2.2,5.3,0.419,1.3,2.9,0.453,0.7,0.8,0.833,0.3,2.6,5.3,0.9,0.1,1.6,1,10
513,2021,DeWanna Bonner,CON,F-G,32,1022,32,32,31.9,5,12.6,0.395,1.4,4.3,0.317,3.6,8.3,0.436,3.9,4.3,0.892,0.7,6.4,3.5,1.3,0.7,2.2,1.6,15.2
514,2021,Brittany Boyd,CHI,G,2,22,2,0,11,0.5,2,0.25,0.5,1,0.5,0,1,0,0.5,1,0.5,0,1,2,1,0,2,1,2
515,2021,Crystal Bradford,ATL,G,24,440,24,9,18.3,3.4,8,0.429,1.2,3.4,0.358,2.2,4.6,0.482,0.8,1.6,0.462,1.3,3.8,1.5,1.2,0.4,1,2.3,8.8
516,2021,Jessica Breland,IND,F,26,544,26,18,20.9,2.6,6.9,0.372,0.2,0.6,0.313,2.4,6.3,0.378,0.5,0.7,0.684,1.4,6.3,2,0.6,1.5,1.8,2,5.8
