year,algorithm,score,nodes,skills,time,solution,loop_time
2018,Half Approximation,52,29,8,0.2682528495788574,"{'FG': ('Breanna Stewart', 0), '3P': ('Renee Montgomery', 0), '2P': ('Brittney Griner', 0), 'TRB': ('Sylvia Fowles', 0), 'AST': ('Chelsea Gray', 0), 'STL': ('Maya Moore', 0), 'BLK': ('Natasha Howard', 1), 'FT': ('DeWanna Bonner', 3)}",0.0009777545928955078
2018,Greedy,55,29,8,0.2682528495788574,"{'FG': ('Kelsey Mitchell', 11), '3P': ('Renee Montgomery', 0), '2P': ('Natalie Achonwa', 7), 'FT': ('Allisha Gray', 7), 'TRB': ('Jessica Breland', 2), 'AST': ('Erica Wheeler', 2), 'STL': ('Gabby Williams', 1), 'BLK': ('Azura Stevens', 6)}",0.19450831413269043
2019,Half Approximation,53,34,8,0.30327320098876953,"{'TRB': ('Jonquel Jones', 0), 'FG': ('Natasha Howard', 0), '3P': ('Allie Quigley', 0), '2P': ('Sylvia Fowles', 0), 'FT': ('DeWanna Bonner', 0), 'AST': ('Chelsea Gray', 0), 'STL': ('Alyssa Thomas', 1), 'BLK': ('LaToya Sanders', 2)}",0.0009992122650146484
2019,Greedy,56,34,8,0.30327320098876953,"{'FG': ('Kayla McBride', 13), '3P': ('Shekinna Stricklen', 2), '2P': ('Danielle Robinson', 10), 'FT': ('Kia Nurse', 3), 'TRB': ('Teaira McCowan', 1), 'AST': ('Natasha Cloud', 1), 'STL': ('Betnijah Laney', 3), 'BLK': ('LaToya Sanders', 2)}",0.2443382740020752
